x,y,z,avg,diff,localdata
-3.26666,3.66064,7.24553,91.9772,-11.0652,0.494644,0
-3.30438,3.86122,7.78815,92.2133,0.236183,0.0272064,0
-3.43102,4.67897,8.98507,96.1002,3.88684,-0.624001,0
-3.44104,4.8306,10.6378,102.011,5.91116,-0.702209,0
-3.5813,4.62029,11.0732,108.015,6.00376,-1.13869,0
-3.52981,4.47958,11.3147,113.868,5.85332,-0.649651,0
-3.30588,3.8473,11.3452,118.495,4.62696,-0.182266,0
-3.6783,3.58385,11.2714,121.465,2.96981,-0.208725,0
-3.96002,2.2106,9.91119,118.818,-2.64708,0.0328827,0
-3.68698,1.65271,8.60785,116.404,-2.41443,0.0250168,0
-2.94767,1.37759,8.21447,115.277,-1.12664,0.328529,0
-2.19968,1.0833,8.91441,114.15,-1.12714,0.325058,0
-1.15455,1.14482,10.5161,113.977,-0.172707,0.121262,0
-0.714913,1.33492,11.532,115.643,1.66563,1.10621,0
-0.868943,1.56724,11.366,117.757,2.11386,0.618462,0
-1.40064,1.19736,10.896,120.424,2.66689,0.394531,0
-1.93682,1.0083,10.2701,122.528,2.10467,0.24614,0
-1.85854,0.698448,9.32321,122.802,0.273811,0.432762,0
-1.95583,0.531545,8.42164,120.342,-2.46027,0.09758,0
-1.37774,0.459395,8.32823,115.537,-4.80432,0.603249,0
-0.792003,0.400118,8.86157,110.695,-4.84215,0.282143,0
-0.573607,-0.368085,9.82153,106.719,-3.97632,0.301872,0
-0.853824,-0.0487985,10.0486,103.423,-3.29616,0.293015,0
-1.57413,-0.132924,9.8118,100.007,-3.41573,0.302078,0
-1.49764,0.267494,8.75799,97.5207,-2.48647,-0.00880432,0
-1.55227,0.470771,7.68158,95.7218,-1.7989,0.0149841,0
-1.41276,0.389939,8.3694,95.3549,-0.366829,-0.349007,0
-1.62128,0.190554,9.30001,95.5847,0.229759,-0.377449,0
-2.35775,0.0887654,11.45,97.0495,1.46484,-0.0192871,0
-1.83698,0.361498,10.4335,95.6171,-1.4324,-0.474625,0
-1.56574,0.0925076,8.10954,91.6063,-4.0108,-0.00895691,0
