Counter, Data, Peaks
1033,23212,
1034,-21982,
1035,-49488,
1036,-16797,
1037,6144,
1038,-729,
1039,-31117,
1040,-54058,
1041,-58447,
1042,-63262,
1043,-58213,
1044,-55027,
1045,-29946,
1046,-29166,
1047,-8757,
1048,-3575,
1049,6252,
1050,18108,
1051,29227,
1052,59513,
1053,61430,61430,
1054,28717,
1055,12750,
1056,28773,
1057,56304,
1058,67253,
1059,60342,
1060,82408,
1061,99067,
1062,38659,
1063,6432,
1064,-32502,
1065,-53576,
1066,-40123,
1067,-28563,
1068,-6251,
1069,-6748,
1070,-10124,
1071,-10222,
1072,-11548,
1073,-17042,
1074,-18012,
1075,-21038,
1076,-9575,
1077,7413,
1078,6149,
1079,-9483,
1080,-7114,
1081,15906,
1082,38838,
1083,50918,
1084,15428,
1085,-3548,
1086,3597,
1087,2951,
1088,-17315,
1089,-52090,
1090,-74481,
1091,-76428,
1092,-90086,
1093,-101570,
1094,-49110,
1095,-38709,
1096,-22691,
1097,-4169,
1098,5188,
1099,18180,
1100,24079,
1101,57364,
1102,84035,84035,84035,
1103,83636,
1104,43721,
1105,23408,
1106,37807,
1107,70971,
1108,81552,
1109,81578,
1110,70533,
1111,67275,
1112,29912,
1113,-2952,
1114,-40066,
1115,-67618,
1116,-62046,
1117,-46589,
1118,-23182,
1119,-9537,
1120,-10676,
1121,-4850,
1122,-7108,
1123,-9089,
1124,-11916,
1125,-12814,
1126,-2854,
1127,11708,
1128,10930,
1129,-9619,
1130,-7288,
1131,16925,
1132,44793,
1133,36104,
1134,-1805,
1135,-20698,
1136,2680,
1137,6315,
1138,-12014,
1139,-51715,
1140,-75752,
1141,-91696,
1142,-86489,
1143,-74830,
1144,-40125,
1145,-31704,
1146,-18843,
1147,-6852,
1148,7004,
1149,11463,
1150,21801,
1151,55408,
1152,101802,101802,
1153,86911,
1154,30228,
1155,6206,
1156,15777,
1157,48824,
1158,65944,
1159,72102,72102,
1160,71425,
1161,71053,
1162,45060,
1163,17192,
1164,-37875,
1165,-52939,
1166,-53763,
1167,-37967,
1168,-23471,
1169,-12701,
1170,-15257,
1171,-13173,
1172,-14270,
1173,-14243,
1174,-14806,
1175,-14441,
1176,-4666,
1177,11888,
1178,3086,
1179,-14973,
1180,-5984,
1181,22696,
1182,46019,
1183,33764,
1184,-25266,
1185,-26140,
1186,8472,
1187,20697,
1188,4467,
1189,-29871,
1190,-55055,
1191,-78696,
1192,-86638,
1193,-75397,
1194,-56766,
1195,-55971,
1196,-34032,
1197,-25054,
1198,-2379,
1199,4040,
1200,11844,
1201,33740,
1202,72361,
1203,98423,98423,
1204,64974,
1205,23301,
1206,18626,
1207,38882,
1208,48532,
1209,44802,
1210,76702,
1211,90703,
1212,45232,
1213,13959,
1214,-28991,
1215,-55363,
1216,-42453,
1217,-35734,
1218,-23166,
1219,-11339,
1220,-14801,
1221,-15956,
1222,-16371,
1223,-14886,
1224,-14037,
1225,-13807,
1226,-10829,
1227,4797,
1228,13188,
1229,-1026,
1230,-12888,
1231,-2161,
1232,22054,
1233,54601,
1234,39833,
1235,5803,
1236,19306,
1237,31757,
1238,15595,
1239,-18434,
1240,-44403,
1241,-63710,
1242,-89022,
