-0.434,-0.336,0.254
-0.479,-0.307,0.258
-0.547,-0.406,0.213
-0.619,-0.510,0.238
-0.699,-0.752,0.176
-0.797,-0.879,0.230
-0.910,-0.869,0.189
-1.082,-1.158,-0.008
-0.988,-1.295,-0.023
-0.668,-1.330,0.178
-0.371,-1.711,0.225
-0.523,-1.037,0.135
-0.785,-1.221,0.055
-0.836,-1.357,0.041
-0.855,-1.322,0.010
-0.879,-1.145,-0.084
-0.795,-0.939,-0.105
-0.658,-0.813,-0.051
-0.600,-0.777,0.059
-0.535,-0.828,0.037
-0.514,-0.799,0.055
-0.498,-0.787,0.051
-0.516,-0.795,0.037
-0.523,-0.785,0.076
-0.602,-0.779,0.066
-0.641,-0.729,0.090
-0.727,-0.732,0.080
-0.824,-0.750,0.094
-0.822,-0.793,0.076
-0.951,-0.670,0.049
-0.900,-0.709,0.215
-0.928,-0.668,0.328
-0.957,-0.625,0.385
-1.033,-0.621,0.365
-1.078,-0.650,0.340
-0.842,-0.580,0.439
-0.770,-0.629,0.406
-0.813,-0.607,0.314
-0.959,-0.570,0.213
-1.086,-0.531,0.127
-1.033,-0.533,0.184
-0.861,-0.523,0.207
-0.691,-0.465,0.184
-0.520,-0.465,0.146
-0.420,-0.496,0.090
-0.363,-0.502,0.055
-0.340,-0.514,0.041
-0.338,-0.502,0.027
-0.395,-0.545,-0.029
-0.408,-0.561,0.004
-0.463,-0.645,0.008
-0.543,-0.719,0.033
-0.656,-0.789,0.072
-0.768,-0.916,0.107
-0.902,-1.018,0.102
-0.938,-1.172,0.031
-0.955,-1.340,-0.033
-0.986,-1.537,-0.031
-1.090,-1.582,-0.074
-1.143,-1.455,0.002
-0.680,-1.156,0.176
-0.443,-0.873,0.178
-0.326,-1.184,0.166
-0.564,-1.348,-0.004
-0.809,-1.133,0.029
-0.982,-1.000,0.043
-0.957,-0.977,0.080
-0.996,-0.863,0.037
-1.002,-0.512,0.184
-0.910,-0.617,-0.010
-0.848,-0.463,0.123
-0.828,-0.703,0.031
-0.834,-0.656,0.031
-0.830,-0.689,-0.031
-0.756,-0.762,-0.041
-0.727,-0.668,-0.021
-0.693,-0.588,0.029
-0.672,-0.545,0.043
-0.689,-0.523,0.059
-0.672,-0.506,0.084
-0.670,-0.479,0.098
-0.717,-0.502,0.154
-0.850,-0.559,0.195
-0.893,-0.629,0.223
-0.752,-0.570,0.424
-0.691,-0.598,0.447
-0.762,-0.666,0.305
-0.980,-0.816,0.270
-1.146,-0.910,0.215
-1.131,-0.795,0.262
-1.018,-0.705,0.227
-0.830,-0.768,0.176
-0.641,-0.777,0.109
-0.570,-0.594,0.086
-0.357,-1.145,0.074
-0.322,-0.668,0.096
-0.420,-0.721,-0.131
-0.443,-0.750,-0.045
-0.467,-0.795,-0.006
-0.471,-0.779,0.006
-0.520,-0.828,0.027
-0.561,-0.889,0.043
-0.646,-0.930,0.047
-0.730,-1.008,0.049
-0.732,-1.059,0.063
-0.725,-1.092,0.059
-0.777,-1.154,0.082
-0.850,-1.262,0.123
-0.822,-1.326,0.176
-0.590,-1.254,0.227
-0.441,-1.080,0.186
-0.574,-1.129,0.143
-0.814,-1.227,0.107
-0.986,-1.166,0.082
-1.137,-1.072,0.014
-1.205,-1.049,0.002
-1.211,-1.033,-0.002
-1.068,-0.982,0.055
-1.229,-0.242,0.084
-0.926,-0.678,0.076
-0.973,-0.680,-0.037
-0.822,-0.617,0.023
-0.789,-0.723,-0.045
-0.717,-0.672,-0.020
-0.688,-0.574,0.012
-0.604,-0.521,0.027
-0.586,-0.486,0.033
-0.506,-0.479,0.086
-0.502,-0.461,0.109
-0.490,-0.436,0.164
-0.482,-0.430,0.195
-0.531,-0.449,0.242
-0.670,-0.547,0.297
-0.760,-0.625,0.357
-0.715,-0.650,0.395
-0.732,-0.680,0.385
-0.902,-0.789,0.369
-1.090,-0.938,0.354
-1.242,-0.916,0.234
-1.182,-0.881,0.223
-1.031,-0.805,0.172
-0.854,-0.777,0.113
-0.641,-0.785,0.100
-0.529,-0.732,0.039
-0.490,-0.832,-0.047
-0.414,-0.926,-0.064
-0.402,-0.844,-0.033
-0.451,-0.818,-0.061
-0.471,-0.838,-0.051
-0.473,-0.865,-0.053
-0.486,-0.869,-0.049
-0.551,-0.918,-0.018
-0.592,-0.994,-0.021
-0.602,-1.059,0.016
-0.631,-1.119,0.072
-0.656,-1.152,0.068
-0.744,-1.166,0.070
-0.840,-1.227,0.078
-0.900,-1.332,0.094
-0.846,-1.371,0.146
-0.545,-1.137,0.170
-0.377,-0.865,0.125
-0.443,-0.930,0.094
-0.645,-1.127,0.084
-0.832,-1.137,0.096
-1.014,-1.051,0.049
-1.104,-0.957,0.031
-1.053,-1.014,-0.021
-1.107,-0.691,0.055
-0.900,-0.445,0.139
-0.961,-0.756,0.037
-0.857,-0.623,0.072
-0.715,-0.662,0.109
-0.703,-0.820,-0.012
-0.643,-0.695,0.002
-0.654,-0.645,0.018
-0.629,-0.584,0.053
-0.629,-0.557,0.051
-0.609,-0.559,0.092
-0.643,-0.582,0.125
-0.648,-0.557,0.160
-0.646,-0.537,0.180
-0.760,-0.580,0.197
-0.867,-0.629,0.227
-0.789,-0.625,0.359
-0.664,-0.637,0.420
-0.721,-0.682,0.375
-0.900,-0.844,0.277
-1.070,-0.881,0.221
-1.107,-0.840,0.186
-1.000,-0.783,0.236
-0.844,-0.742,0.201
-0.762,-0.721,0.143
-0.688,-0.453,0.078
-0.422,-1.475,0.189
-0.342,-0.549,-0.033
-0.451,-0.701,-0.100
