time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,-2.4078927,4.7119017,7.2846017,-2.2105732,-2.2489436,0.27818662,6.4614716,-5.4160156,-66.40137
0.010009764999949766,-2.4198678,4.7009745,7.7772274,-0.6810787,-0.50947684,-0.556374,6.4614716,-5.4160156,-66.40137
0.020080565999933242,-2.4505541,4.3306446,7.612869,0.1918528,0.41035184,0.25047457,6.4614716,-5.4160156,-66.40137
0.030059813999969265,-2.3379881,4.6940885,7.4654255,0.24088159,0.5073442,0.47430313,7.1614685,-5.8470306,-66.18831
0.040039061999777914,-2.2209315,4.719536,7.686366,0.1502843,0.44659054,0.6054023,7.1614685,-5.8470306,-66.18831
0.05004882799994448,-2.009122,4.8624883,7.7288775,0.12257226,0.4220764,0.6171269,7.1614685,-5.8470306,-66.18831
0.060058592999894245,-2.2359004,4.419859,8.393196,0.18545748,0.5158711,0.49561986,7.6614685,-5.954788,-66.18831
0.07003784099993027,-2.3129902,4.349954,8.268954,0.26326466,0.52759564,0.39116642,7.6614685,-5.954788,-66.18831
0.08004760699986946,-2.1724324,4.247717,7.9105997,0.3016352,0.46471015,0.31655717,7.6614685,-5.954788,-66.18831
0.09005737199981922,-2.4734564,4.2430763,7.6704993,0.27818662,0.3794424,0.27818662,7.4614716,-6.278061,-65.65564
0.10006713799998579,-2.599195,4.502936,7.73262,0.25473776,0.33574232,0.30483288,7.4614716,-6.278061,-65.65564
0.11004638599979444,-2.518962,4.276457,7.5375757,0.21743326,0.3783766,0.34000605,7.4614716,-6.278061,-65.65564
0.120056151999961,-2.1433928,4.3605824,7.414681,0.17266738,0.45938116,0.34320343,8.761475,-7.355606,-65.442566
0.13006591699991077,-2.061513,4.278403,7.279961,0.12896757,0.53505623,0.3144256,8.761475,-7.355606,-65.442566
0.14004516599993622,-1.642684,4.3906693,7.333849,0.10232131,0.609666,0.2835156,8.761475,-7.355606,-65.442566
0.15005493099988598,-1.4470409,4.9548464,7.6266403,0.075675055,0.64057547,0.27392316,10.1614685,-7.1400757,-64.69684
0.16006469699982517,-2.2573059,5.247488,8.336913,0.031975243,0.6064681,0.34640083,10.1614685,-7.1400757,-64.69684
0.1700439449998612,-2.692451,5.144951,8.722212,0.057555705,0.46684203,0.45405164,10.861481,-6.924576,-64.37723
0.18005370999981096,-3.4242792,4.9445176,8.505612,0.14815272,0.29737204,0.46044698,10.861481,-6.924576,-64.37723
0.19006347599997753,-3.3504827,4.9740067,8.052804,0.23555261,0.21316953,0.36984968,10.861481,-6.924576,-64.37723
0.2000732409999273,-3.0611343,4.9407754,7.0341725,0.25047457,0.25686935,0.25686935,10.261475,-7.786606,-63.73802
0.21005248899996332,-2.860701,4.82327,7.262448,0.17586477,0.39649594,0.21956486,10.261475,-7.786606,-63.73802
0.2200622549999025,-2.6256897,4.906048,7.240593,0.10445291,0.5052126,0.19611599,10.461472,-7.571106,-63.41841
