-0.236,0.475,0.520
0.033,0.404,0.682
0.133,0.256,0.615
0.197,0.139,0.629
0.053,0.125,0.826
-0.088,0.088,0.723
0.213,-0.705,0.541
-0.236,0.318,1.191
-0.150,0.328,1.201
-0.211,0.410,1.314
-0.617,0.709,1.559
-0.756,0.797,1.459
-0.744,0.775,1.451
-0.539,0.742,1.344
-0.322,0.641,1.217
-0.240,0.547,1.117
-0.232,0.482,1.203
-0.271,0.420,1.215
-0.342,0.438,1.176
-0.357,0.418,1.109
-0.402,0.373,1.006
-0.432,0.271,0.957
-0.422,0.172,0.941
-0.135,0.123,0.918
-0.367,0.215,0.830
-0.428,0.293,0.828
-0.520,0.344,0.900
-0.506,0.344,0.961
-0.500,0.410,1.062
-0.535,0.535,1.014
-0.268,0.379,1.221
-0.135,0.301,1.258
-0.379,0.479,1.395
-0.400,0.615,1.553
-0.234,0.490,1.611
-0.113,0.348,1.699
-0.104,0.295,1.746
-0.187,0.340,1.730
-0.041,0.346,1.687
0.180,0.301,1.582
0.055,0.311,1.441
0.033,0.256,1.367
0.012,0.293,1.211
-0.039,0.363,1.090
-0.105,0.383,0.951
-0.164,0.434,0.918
-0.266,0.256,0.793
-0.107,0.146,0.725
-0.141,0.105,0.633
-0.070,0.012,0.471
0.004,0.111,0.418
-0.020,0.186,0.418
-0.014,0.172,0.412
0.020,0.115,0.396
0.018,0.039,0.494
0.002,0.012,0.598
-0.076,0.088,0.748
-0.139,0.227,0.883
-0.123,0.281,1.053
-0.107,0.334,1.203
-0.002,0.361,1.309
0.098,0.375,1.490
-0.033,0.547,1.748
-0.180,0.471,1.811
-0.289,0.496,1.828
-0.297,0.609,1.789
-0.211,0.939,1.635
-0.209,1.006,1.494
-0.314,0.793,1.574
-0.469,0.516,1.379
-0.471,0.457,1.266
-0.312,0.553,1.146
-0.209,0.504,0.963
-0.283,0.410,0.871
-0.492,0.424,0.939
-0.523,0.389,0.908
-0.504,0.455,0.906
-0.391,0.422,0.826
-0.459,0.395,0.916
-0.482,0.398,1.021
-0.443,0.424,1.111
-0.342,0.361,1.154
-0.354,0.264,1.246
-0.400,0.146,1.352
-0.416,0.098,1.434
-0.387,0.053,1.373
-0.227,0.234,1.332
-0.230,0.596,1.357
-0.230,0.748,1.434
-0.275,0.635,1.645
-0.408,0.590,2.061
-0.297,0.670,2.070
-0.111,0.539,1.914
-0.105,0.561,1.973
-0.059,0.438,2.297
-0.191,0.334,1.906
-0.004,0.289,1.572
0.006,0.236,1.234
0.066,0.143,0.924
0.168,-0.119,0.678
0.158,0.143,0.396
0.156,0.166,0.260
0.105,0.115,0.148
0.031,0.043,0.160
0.088,-0.016,0.180
0.145,-0.043,0.119
0.057,0.035,0.184
0.008,0.047,0.232
-0.072,0.072,0.342
-0.129,0.072,0.445
-0.201,0.203,0.523
-0.301,0.322,0.637
-0.254,0.332,0.752
-0.291,0.418,0.881
-0.215,0.590,1.078
-0.238,0.693,1.129
-0.348,0.529,1.303
-0.428,0.502,1.400
-0.539,0.563,1.512
-0.598,0.709,1.584
-0.627,0.785,1.611
-0.492,0.781,1.557
-0.320,0.672,1.512
-0.266,0.592,1.430
-0.238,0.547,1.342
-0.252,0.588,1.400
-0.314,0.693,1.414
-0.340,0.645,1.359
-0.328,0.559,1.207
-0.273,0.430,1.037
-0.270,0.604,0.963
-0.248,0.523,0.832
-0.395,0.518,0.844
-0.471,0.457,0.865
-0.512,0.404,0.939
-0.436,0.328,0.990
-0.363,0.340,0.992
-0.340,0.348,1.045
-0.338,0.338,1.174
-0.361,0.342,1.168
-0.316,0.287,1.096
-0.309,0.240,1.133
-0.357,0.375,1.418
-0.289,0.467,1.498
-0.227,0.408,1.531
-0.396,0.418,1.643
-0.590,0.469,1.684
-0.529,0.525,1.754
-0.459,0.484,1.814
-0.324,0.498,1.814
-0.268,0.533,1.721
-0.330,0.615,1.687
-0.338,0.480,1.562
-0.303,0.264,1.400
-0.191,0.088,1.207
-0.008,0.064,0.998
0.111,0.127,0.684
0.176,0.170,0.465
0.104,0.115,0.330
0.084,-0.045,0.289
0.033,-0.105,0.287
-0.020,0.027,0.322
-0.023,0.098,0.291
-0.066,0.037,0.322
-0.131,0.000,0.377
-0.217,0.098,0.453
-0.244,0.248,0.523
-0.229,0.291,0.586
-0.176,0.293,0.383
-0.295,0.184,0.771
-0.486,0.430,0.967
-0.391,0.688,1.064
-0.352,0.623,1.045
-0.199,0.492,1.090
-0.414,0.340,1.371
-0.650,0.383,1.529
-0.707,0.535,1.668
-0.723,0.715,1.729
-1.051,0.984,1.631
-0.434,0.607,1.506
-0.305,0.465,1.434
-0.359,0.553,1.455
-0.309,0.621,1.402
-0.408,0.650,1.297
-0.422,0.494,1.252
-0.391,0.320,1.209
-0.260,0.273,1.061
-0.059,0.217,0.951
-0.121,0.254,0.832
-0.236,0.285,0.816
-0.338,0.250,0.814
-0.326,0.227,0.768
