time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,,,,
0,-0.985400855541229,3.36350560188293,6.00251770019531,2.15727996826172,0.819638133049011,-1.59770941734314,2.79998779296875,-25.555908203125,-17.6163940429688,6.95085631567487,,,
0.0100402829993982,-0.526604890823364,2.12947177886963,8.9717435836792,0.0383702926337719,-0.314426124095917,-1.43143713474274,2.79998779296875,-25.555908203125,-17.6163940429688,9.23602434488618,,,
0.020019530999889,-0.623603224754334,2.08980417251587,8.96231269836426,0.0863335579633713,-0.0714121311903,-0.364520967006683,2.79998779296875,-25.555908203125,-17.6163940429688,9.22383929633697,,,
0.030212401999961,-0.720601499080658,2.05357956886291,8.91022109985352,0.0703455358743668,-0.0319757759571075,-0.0255804620683193,2.59999084472656,-25.6549682617187,-18.3950347900391,9.17215872160983,,,
0.0401916499995423,-0.336051166057587,1.94221115112305,9.08206367492676,0.0639507547020912,-0.0021321268286556,-0.00106632965616882,2.59999084472656,-25.6549682617187,-18.3950347900391,9.29349208517334,,,
0.0502014159992541,-0.49442183971405,1.80374908447266,9.02757740020752,0.052226185798645,0.00213159411214292,0,2.59999084472656,-25.6549682617187,-18.3950347900391,9.21927965906555,,,
0.0601806639997449,-0.587827622890472,2.10911417007446,9.31303310394287,0.0309094469994307,-0.00426372094079852,0.00426318822428584,2.59999084472656,-25.2587585449219,-18.1030426025391,9.56694776257181,,,
0.0701599119993261,-0.3855981528759,1.9296373128891,9.07907009124756,0.0138556277379394,-0.0021321268286556,0.0031973912846297,2.59999084472656,-25.2587585449219,-18.1030426025391,9.28987081807821,,,
0.0801696779999475,-0.372126162052155,1.91721308231354,9.32635593414307,0.0074605792760849,-0.0170538183301687,0.00426318822428584,2.59999084472656,-25.2587585449219,-18.1030426025391,9.52864622566099,,,
0.0901489259995287,-0.397273868322372,1.74237668514252,9.18070888519287,0.0170530192553997,-0.0426342785358429,0.00852637644857168,2.5,-25.1596984863281,-17.9083862304687,9.35302724651433,,,
0.100128172999575,-0.460741877555847,1.92140436172485,9.31587791442871,0.0351726338267326,-0.0586220361292362,0.00532898539677262,2.5,-25.1596984863281,-17.9083862304687,9.52311183991502,,,
0.110107421999601,-0.319585412740707,1.9404149055481,9.10496616363525,0.0618188939988613,-0.0522267185151577,0,2.5,-25.1596984863281,-17.9083862304687,9.31492102396218,,,
0.120117186999778,-0.433498531579971,2.01870203018188,9.22202301025391,0.0660823509097099,-0.0650173500180244,0.00426318822428584,2.79998779296875,-25.4568634033203,-17.9083862304687,9.45033265367918,,,
0.130096434999359,-0.228125616908073,1.82021486759186,8.9608154296875,0.0532919839024544,-0.0650173500180244,0.0138556277379394,2.79998779296875,-25.4568634033203,-17.9083862304687,9.14666259496969,,,
0.14007568299985,-0.435743868350983,1.83892595767975,8.97249126434326,0.0436992794275284,-0.0447661392390728,0.0127898314967752,2.79998779296875,-25.4568634033203,-17.9083862304687,9.16935771389414,,,
0.150085448999562,-0.421673119068146,2.14309334754944,9.0739803314209,0.0341068394482136,-0.0266462583094835,0.0138556277379394,2.79998779296875,-25.555908203125,-18.9789886474609,9.33315468481417,,,
0.160064696999143,-0.397423565387726,1.95059370994568,9.02069091796875,0.0245141312479973,-0.0351731665432453,0.0223825369030237,2.79998779296875,-25.555908203125,-18.9789886474609,9.23772839767056,,,
0.170074462999764,-0.249980166554451,1.90733373165131,9.07203483581543,0.0223825369030237,-0.0415684841573238,0.0277120545506477,2.79998779296875,-25.555908203125,-18.9789886474609,9.27373862634775,,,
0.180023192999215,-0.533490598201752,1.88817358016968,9.17981052398682,0.0255799293518066,-0.0458319373428822,0.0287778526544571,3,-25.2587585449219,-17.8110504150391,9.38715787358025,,,
0.190032958999836,-0.499361574649811,1.94101369380951,9.04928207397461,0.0255799293518066,-0.0447661392390728,0.0298436488956213,3,-25.2587585449219,-17.8110504150391,9.26857066629753,,,
0.200042724000014,-0.261206805706024,2.02094745635986,8.81965923309326,0.0245141312479973,-0.0330415740609169,0.0309094469994307,3,-25.2587585449219,-17.8110504150391,9.05200787696309,,,
0.210052489999725,-0.38993912935257,1.81811916828156,9.02188873291016,0.0127898314967752,-0.0405026860535145,0.0319752432405949,2.69999694824219,-25.1596984863281,-18.3950347900391,9.21151920932071,,,
0.22000122099962,-0.299227744340897,2.07767939567566,9.03116989135742,-0.0053295181132853,-0.0351731665432453,0.0330410413444042,2.69999694824219,-25.1596984863281,-18.3950347900391,9.27191018726774,,,
0.229980468999202,-0.333656162023544,2.14114737510681,9.12846755981445,-0.0181198809295893,-0.0309099797159433,0.0319752432405949,2.69999694824219,-25.1596984863281,-18.3950347900391,9.3821510596967,9.20235278683128,,
0.239959715999248,-0.324525147676468,2.0966899394989,9.1070613861084,-0.0159880220890045,-0.0341073721647263,0.0277120545506477,2.29998779296875,-25.555908203125,-18.0057067871094,9.35093537375898,9.30235608091812,0.100003294086838,0.0100006588282185
0.249969482999404,-0.459544360637665,1.87754559516907,9.30599784851074,0.00106579705607146,-0.0373052954673767,0.0277120545506477,2.29998779296875,-25.555908203125,-18.0057067871094,9.50462805362836,9.31354790211571,0.0111918211975901,0.000125256861718827
0.259948729999451,-0.416284322738647,1.78369081020355,9.02488231658936,0.0149214249104261,-0.0373052954673767,0.0287778526544571,2.29998779296875,-25.555908203125,-18.0057067871094,9.20887324117614,9.31292431648401,-0.000623585631700507,3.8885904006332E-07
